edge_count,pentagons,triangles,squares,circles,halfcircles,blob_count,color_count,class
938,47,17,4105,45,134,182,1,Hard-Edge-Art
1047,14,9,362,35,270,94,2,Cubism
598,17,0,75,4,16,0,1,Op-Art
55,1,0,6,1,4,2,3,Hard-Edge-Art
471,27,32,973,23,154,30,3,ORPHISM
194,10,15,206,11,43,22,2,Colour-Field-Painting
313,11,27,138,18,92,76,2,ActionPainting
1187,15,6,496,35,169,43,1,Surreal-Surrealism
1998,36,66,559,36,360,349,1,ORPHISM
229,7,9,157,6,66,15,2,Cubism
1002,50,58,905,60,360,94,2,Expressionism
137,4,1,29,6,34,3,1,Colour-Field-Painting
601,16,18,259,20,109,139,2,Cubism
1507,15,17,455,49,418,196,1,Cubism
106,1,0,84,4,16,8,1,Colour-Field-Painting
467,15,9,126,13,90,47,1,ActionPainting
148,0,0,0,0,3,2,4,Cubism
1074,37,36,169,24,170,185,1,Post-impressionism
2226,101,155,1317,104,698,591,2,ActionPainting
551,2,0,9,0,6,1,1,Op-Art
230,1,1,7,1,9,6,1,Op-Art
92,1,8,93,0,8,10,2,Hard-Edge-Art
1365,40,21,1122,59,306,180,2,ActionPainting
529,5,1,113,8,58,35,2,Surreal-Surrealism
106,2,3,80,7,23,15,1,Post-impressionism
839,45,31,1064,40,294,136,1,Post-impressionism
148,3,2,65,0,39,14,2,Surreal-Surrealism
2255,141,112,1241,106,717,569,1,Post-impressionism
200,13,32,124,12,42,2,2,Colour-Field-Painting
85,21,32,405,19,73,12,1,Hard-Edge-Art
483,33,20,1407,35,184,31,2,Minimalism-Art
106,2,2,3,0,1,1,1,Hard-Edge-Art
322,2,0,66,5,75,24,2,ActionPainting
29,0,0,0,0,0,0,1,Hard-Edge-Art
976,55,68,843,55,312,181,1,Post-impressionism
158,1,2,39,0,22,4,2,Surreal-Surrealism
6,2,2,17,2,5,0,1,Colour-Field-Painting
155,6,6,74,5,16,28,2,ActionPainting
674,20,1,95,12,93,64,1,Op-Art
71,7,0,321,7,29,2,1,Hard-Edge-Art
623,19,20,176,25,73,62,2,Post-impressionism
966,23,32,491,42,253,99,2,ORPHISM
78,0,0,0,0,0,5,1,Colour-Field-Painting
376,9,3,374,41,291,27,2,Surreal-Surrealism
658,0,0,2,0,1,0,1,Colour-Field-Painting
932,45,67,504,36,190,76,2,Cubism
864,20,30,413,45,194,136,1,Post-impressionism
221,8,2,139,9,52,28,1,Surreal-Surrealism
200,6,7,109,20,79,20,2,Minimalism-Art
74,0,0,0,0,0,0,1,Colour-Field-Painting
247,16,13,368,13,32,82,1,Minimalism-Art
28,0,0,3,1,0,0,1,Hard-Edge-Art
3309,210,271,3135,139,817,572,2,Post-impressionism
51,0,0,1,0,1,0,3,Hard-Edge-Art
86,0,0,1,0,0,0,1,Colour-Field-Painting
1445,59,34,653,41,274,160,1,Surreal-Surrealism
519,5,4,231,6,60,6,4,Op-Art
693,19,41,316,21,134,27,1,Surreal-Surrealism
700,58,56,1207,53,330,267,1,ActionPainting
4713,69,2,410,172,1680,626,1,Op-Art
579,4,23,70,11,68,246,1,Op-Art
4189,173,168,1326,247,1447,911,2,ActionPainting
1974,69,43,2864,95,660,232,1,Expressionism
664,10,7,345,29,227,168,1,Post-impressionism
85,2,0,6,2,7,12,2,Colour-Field-Painting
1088,30,28,686,75,370,275,3,Post-impressionism
46,6,0,84,2,18,8,2,Post-impressionism
673,17,36,303,20,139,76,1,Colour-Field-Painting
538,41,47,279,37,151,1,2,Colour-Field-Painting
1975,344,179,977,118,484,544,2,Expressionism
343,15,18,114,14,127,47,1,Post-impressionism
91,1,6,43,1,24,8,2,Post-impressionism
297,5,3,67,5,75,12,2,Surreal-Surrealism
307,38,47,391,28,254,47,2,Post-impressionism
2936,53,29,1527,97,899,201,1,Op-Art
558,2,0,9,0,6,1,1,Minimalism-Art
43,0,0,1,0,1,0,1,Hard-Edge-Art
1315,42,40,863,77,505,259,2,Post-impressionism
80,1,0,27,0,2,0,2,Hard-Edge-Art
34,0,0,14,0,2,0,2,Hard-Edge-Art
720,53,61,534,36,249,317,2,Expressionism
376,18,19,203,7,67,16,3,Surreal-Surrealism
242,10,11,743,22,69,38,1,ORPHISM
2762,128,151,1473,118,835,526,2,Post-impressionism
38,0,0,3,0,0,0,2,Hard-Edge-Art
69,0,2,67,2,5,0,3,Hard-Edge-Art
1565,92,188,438,169,1128,252,2,Minimalism-Art
353,12,13,224,12,74,23,1,Surreal-Surrealism
28,8,4,41,2,27,0,1,Colour-Field-Painting
181,2,8,55,11,51,0,1,Hard-Edge-Art
261,0,0,17,0,3,4,3,Hard-Edge-Art
1059,26,36,327,37,278,99,1,Surreal-Surrealism
134,2,3,86,5,29,7,1,Colour-Field-Painting
12,0,1,0,0,0,0,1,Minimalism-Art
944,31,58,978,39,213,93,2,ORPHISM
790,26,15,534,40,186,78,2,Surreal-Surrealism
231,9,8,219,7,141,73,3,ActionPainting
89,15,18,374,18,111,15,3,Minimalism-Art
851,23,16,277,37,242,157,1,Cubism
1007,29,39,725,56,247,216,3,Surreal-Surrealism
694,44,58,1022,59,335,269,1,Post-impressionism
43,44,26,376,22,152,1,3,Colour-Field-Painting
317,8,10,186,11,93,76,2,ActionPainting
534,6,5,19,6,23,65,1,Op-Art
231,11,11,114,13,25,0,1,Hard-Edge-Art
767,31,48,407,36,263,229,1,Post-impressionism
970,29,40,834,42,303,162,4,Expressionism
426,23,38,445,29,143,38,2,ORPHISM
221,31,30,125,20,89,33,2,Post-impressionism
1192,72,73,4170,57,318,245,1,Post-impressionism
151,2,2,30,4,26,15,2,ActionPainting
283,0,0,1,0,0,0,1,Colour-Field-Painting
1511,34,46,661,35,291,99,2,Cubism
852,51,69,1373,60,258,79,2,Post-impressionism
663,22,16,236,13,94,25,3,Cubism
501,14,12,206,21,101,35,3,Cubism
1175,32,34,957,31,298,131,1,Surreal-Surrealism
514,8,20,82,7,102,79,1,Colour-Field-Painting
514,21,18,421,41,174,45,1,Surreal-Surrealism
44,0,0,26,2,3,0,2,Hard-Edge-Art
4564,668,3022,4591,160,705,1406,2,Expressionism
338,9,18,325,16,139,49,3,Expressionism
9,1,0,326,7,14,13,1,ActionPainting
88,5,2,332,33,105,0,1,Hard-Edge-Art
719,34,23,384,26,121,83,1,ORPHISM
1641,51,60,583,72,705,238,2,Post-impressionism
982,22,21,510,42,213,99,1,Op-Art
157,5,13,138,8,44,23,2,ORPHISM
69,0,0,1,0,1,0,1,Hard-Edge-Art
1110,30,45,1907,40,273,51,1,Cubism
389,1,2,74,1,37,8,1,Surreal-Surrealism
321,0,0,6,2,18,47,1,Minimalism-Art
478,15,28,397,25,129,24,2,Minimalism-Art
119,19,38,69,8,53,32,1,Colour-Field-Painting
16,0,0,1,0,0,0,1,Minimalism-Art
1412,62,30,1388,91,413,220,1,Post-impressionism
36,1,2,11,1,0,4,1,Colour-Field-Painting
198,1,21,173,3,29,65,2,Hard-Edge-Art
2199,114,105,1033,119,773,648,3,Surreal-Surrealism
1451,2,0,2,5,15,0,1,Op-Art
475,23,42,530,27,191,79,1,Minimalism-Art
609,12,16,215,20,277,163,2,Post-impressionism
176,0,0,2,0,2,0,1,Hard-Edge-Art
63,0,0,0,2,7,0,1,Minimalism-Art
2281,120,133,1036,165,1070,667,1,ActionPainting
1675,90,160,5372,139,690,270,1,Expressionism
677,8,10,121,17,87,34,1,ORPHISM
